                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 0.2355,                0.41279,                 1.0412,                0.80922,                0.80406,                0.87433,                0.51231,                0.26484,                0.51831,                 1.2745,              0.0066092,              0.0066092,              0.0066092
                    139,                0.23197,                0.40321,                 1.0544,                0.80506,                0.84704,                0.90054,                0.53157,                0.25218,                0.50868,                 1.2442,              0.0065845,              0.0065845,              0.0065845
                    140,                0.23944,                0.40607,                 1.0404,                 0.8231,                0.78633,                0.87089,                0.51766,                 0.2622,                0.55017,                 1.2542,              0.0065598,              0.0065598,              0.0065598
                    141,                 0.2452,                 0.4138,                 1.0554,                0.82305,                0.76632,                0.85747,                0.51434,                0.25077,                0.69954,                   1.22,               0.006535,               0.006535,               0.006535
                    142,                0.23857,                0.40006,                 1.0448,                0.76712,                0.79361,                0.85959,                0.51488,                0.25257,                0.62551,                 1.2235,              0.0065102,              0.0065102,              0.0065102
                    143,                0.23567,                0.40603,                 1.0433,                0.76635,                0.83852,                0.88425,                  0.535,                0.25638,                0.52758,                 1.2249,              0.0064855,              0.0064855,              0.0064855
                    144,                0.24274,                0.40806,                 1.0379,                0.76521,                0.79098,                0.85723,                0.50653,                 0.2693,                0.59645,                 1.2593,              0.0064608,              0.0064608,              0.0064608
                    145,                 0.2308,                0.39685,                 1.0358,                0.76533,                0.79483,                0.86072,                0.50196,                0.27145,                0.55887,                 1.2702,               0.006436,               0.006436,               0.006436
                    146,                0.24306,                 0.4033,                 1.0499,                0.78779,                0.79552,                0.86755,                0.52416,                0.25428,                0.58054,                  1.235,              0.0064112,              0.0064112,              0.0064112
                    147,                0.24096,                0.40334,                 1.0356,                0.82433,                0.78097,                0.87291,                0.52875,                0.25346,                0.54622,                 1.2348,              0.0063865,              0.0063865,              0.0063865
                    148,                0.23099,                0.39952,                 1.0396,                0.80531,                0.76653,                  0.861,                0.51716,                0.25416,                0.53822,                 1.2336,              0.0063618,              0.0063618,              0.0063618
