                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.23844,                0.62103,                 1.0188,                0.73081,                0.72011,                0.79309,                0.44154,                0.23055,                0.61561,                 1.1364,               0.008515,               0.008515,               0.008515
                     62,                0.24698,                0.61239,                 1.0279,                0.72942,                0.71407,                0.78806,                0.44771,                0.22448,                0.64105,                 1.1084,              0.0084903,              0.0084903,              0.0084903
                     63,                0.25054,                0.61114,                 1.0257,                0.73783,                0.69967,                0.78939,                0.44969,                0.22263,                0.63729,                 1.1037,              0.0084655,              0.0084655,              0.0084655
                     64,                0.24127,                0.61692,                 1.0215,                0.75355,                0.72277,                0.79886,                0.46147,                0.22244,                0.63203,                 1.1095,              0.0084408,              0.0084408,              0.0084408
                     65,                0.24208,                0.60475,                 1.0103,                0.74747,                0.69139,                0.78124,                0.45284,                0.22161,                0.66855,                 1.1083,               0.008416,               0.008416,               0.008416
                     66,                0.23154,                0.57789,                 1.0069,                0.76707,                 0.7084,                0.79599,                 0.4585,                0.21804,                0.65081,                 1.0954,              0.0083913,              0.0083913,              0.0083913
                     67,                0.23113,                0.60287,                 1.0102,                0.75218,                0.71477,                0.80448,                0.46139,                0.21425,                0.60711,                 1.0975,              0.0083665,              0.0083665,              0.0083665
                     68,                0.24283,                0.58231,                 1.0093,                0.74305,                0.70778,                0.78736,                0.45182,                0.22342,                0.65705,                 1.1088,              0.0083418,              0.0083418,              0.0083418
                     69,                0.23486,                0.58125,                 1.0118,                0.73735,                0.71562,                0.78792,                0.44114,                0.21805,                0.63722,                 1.1118,               0.008317,               0.008317,               0.008317
                     70,                0.24262,                0.58023,                 1.0218,                0.74695,                0.75091,                0.81774,                0.46364,                0.21144,                0.58897,                 1.0907,              0.0082922,              0.0082922,              0.0082922
                     71,                0.23323,                0.57745,                 1.0047,                0.75719,                0.73568,                0.80994,                 0.4686,                0.22027,                 0.5929,                 1.0917,              0.0082675,              0.0082675,              0.0082675
                     72,                0.23647,                0.57379,                 1.0117,                0.75187,                0.69221,                0.78128,                0.45676,                0.21621,                0.68048,                 1.0894,              0.0082428,              0.0082428,              0.0082428
                     73,                0.23503,                0.56283,                 1.0059,                0.76376,                0.71973,                 0.8049,                0.45738,                0.21619,                0.61115,                 1.1082,               0.008218,               0.008218,               0.008218
                     74,                0.23601,                0.58068,                  1.002,                0.72125,                0.74446,                0.80671,                0.45649,                0.21587,                0.60931,                 1.1042,              0.0081932,              0.0081932,              0.0081932
                     75,                0.23482,                0.56727,                 1.0065,                0.73751,                0.72903,                0.80445,                0.46191,                0.21759,                0.61461,                 1.0845,              0.0081685,              0.0081685,              0.0081685
                     76,                0.23702,                0.56265,                 1.0088,                0.75665,                0.72714,                0.80398,                0.46607,                0.21101,                0.61281,                 1.0984,              0.0081437,              0.0081437,              0.0081437
                     77,                0.22988,                 0.5564,                 1.0005,                0.75408,                0.72109,                0.79839,                0.46137,                0.21006,                0.63955,                 1.0861,               0.008119,               0.008119,               0.008119
                     78,                0.22544,                0.56712,                0.99867,                0.73408,                0.73414,                0.79887,                0.47049,                0.21288,                 0.6484,                 1.0839,              0.0080942,              0.0080942,              0.0080942
                     79,                0.22421,                 0.5588,                0.99967,                0.74995,                0.72134,                0.79999,                0.45389,                0.22544,                0.61914,                 1.1052,              0.0080695,              0.0080695,              0.0080695
                     80,                0.23045,                0.54903,                 1.0007,                0.74918,                0.72019,                0.80052,                0.46633,                0.21945,                0.62479,                 1.0923,              0.0080447,              0.0080447,              0.0080447
                     81,                0.23193,                0.55102,                0.99574,                0.75316,                0.72917,                0.81408,                0.47804,                0.20885,                0.62002,                 1.0886,                0.00802,                0.00802,                0.00802
                     82,                0.22741,                0.53855,                 1.0029,                0.77147,                0.71321,                0.80981,                0.47343,                0.20882,                 0.6428,                 1.0833,              0.0079953,              0.0079953,              0.0079953
                     83,                0.23103,                0.54117,                0.99591,                0.76753,                0.72066,                0.80816,                0.46719,                0.20811,                0.62951,                 1.0814,              0.0079705,              0.0079705,              0.0079705
                     84,                0.22696,                0.53258,                0.99173,                0.77617,                0.73514,                0.81195,                0.47812,                0.20571,                0.61875,                 1.0758,              0.0079457,              0.0079457,              0.0079457
                     85,                0.23432,                0.53033,                 1.0005,                0.72963,                0.72498,                0.79209,                0.45321,                0.22125,                0.68041,                 1.0875,               0.007921,               0.007921,               0.007921
                     86,                0.23199,                0.52954,                  1.003,                0.74933,                0.74108,                0.80427,                0.47346,                0.20817,                0.62706,                 1.0762,              0.0078963,              0.0078963,              0.0078963
                     87,                0.22724,                0.53115,                0.99083,                0.75794,                0.73475,                0.80852,                0.46033,                0.21721,                0.61007,                 1.0879,              0.0078715,              0.0078715,              0.0078715
                     88,                0.22635,                0.52398,                0.99943,                0.77465,                 0.7297,                0.81324,                0.45831,                0.21574,                0.60762,                 1.0934,              0.0078467,              0.0078467,              0.0078467
                     89,                0.22044,                0.51718,                0.99176,                0.76737,                0.70978,                0.80418,                0.47067,                0.21441,                0.62261,                 1.0831,               0.007822,               0.007822,               0.007822
                     90,                0.22412,                0.52307,                0.99457,                0.75909,                 0.7382,                 0.8092,                0.46824,                0.20905,                0.60851,                 1.0791,              0.0077973,              0.0077973,              0.0077973
                     91,                0.21842,                0.50956,                0.98959,                0.76059,                0.75167,                0.82603,                0.48166,                0.20836,                 0.5974,                 1.0719,              0.0077725,              0.0077725,              0.0077725
